code,long_description,short_description
S9960,"Ambulance service, conventional air service, nonemergency transport, one way (fixed wing)",Air ambulanc nonemerg fixed
L5616,"Addition to lower extremity, endoskeletal system, above knee, universal multiplex system, friction swing phase control",Ak univ multiplex sys frict
L5617,"Addition to lower extremity, quick change self-aligning unit, above knee or below knee, each",Ak/bk self-aligning unit ea
P9046,"Infusion, albumin (human), 25%, 20 ml","Albumin (human), 25%, 20 ml"
P9045,"Infusion, albumin (human), 5%, 250 ml","Albumin (human), 5%, 250 ml"
J7620,"Albuterol, up to 2.5 mg and ipratropium bromide, up to 0.5 mg, fda-approved final product, non-compounded, administered through dme",Albuterol ipratrop non-comp
H0030,Behavioral health hotline service,Alcohol and/or drug hotline
H0050,"Alcohol and/or drug services, brief intervention, per 15 minutes",Alcohol/drug service 15 min
G0396,"Alcohol and/or substance (other than tobacco) abuse structured assessment (e.g., audit, dast), and brief intervention 15 to 30 minutes",Alcohol/subs interv 15-30mn
G0397,"Alcohol and/or substance (other than tobacco) abuse structured assessment (e.g., audit, dast), and intervention, greater than 30 minutes",Alcohol/subs interv >30 min
V5283,"Assistive listening device, personal fm/dm neck, loop induction receiver","Ald neck, loop ind receiver"
V5270,"Assistive listening device, television amplifier, any type","Ald, tv amplifier, any type"
J0275,"Alprostadil urethral suppository (code may be used for medicare when drug administered under the direct supervision of a physician, not for use when drug is self administered)",Alprostadil urethral suppos
A0392,Als specialized service disposable supplies; defibrillation (to be used only in jurisdictions where defibrillation cannot be performed in bls ambulances),Als defibrillation supplies
A0396,Als specialized service disposable supplies; esophageal intubation,Als esophageal intub suppls
CF   ,Amcc test has been ordered by an esrd facility or mcp physician that is not part of the composite rate and is separately billable,Amcc tst not composite rate
J7308,"Aminolevulinic acid hcl for topical administration, 20%, single unit dosage form (354 mg)",Aminolevulinic acid hcl top
Q4151,"Amnioband or guardian, per square centimeter","Amnioband, guardian 1 sq cm"
Q4137,"Amnioexcel, amnioexcel plus or biodexcel, per square centimeter",Amnioexcel biodexcel 1sq cm
J0288,"Injection, amphotericin b cholesteryl sulfate complex, 10 mg",Ampho b cholesteryl sulfate
J0289,"Injection, amphotericin b liposome, 10 mg",Amphotericin b liposome inj
J0295,"Injection, ampicillin sodium/sulbactam sodium, per 1.5 gm",Ampicillin sulbactam 1.5 gm
L5050,"Ankle, symes, molded socket, sach foot",Ank symes mold sckt sach ft
L4350,"Ankle control orthosis, stirrup style, rigid, includes any type interface (e.g., pneumatic, gel), prefabricated, off-the-shelf",Ankle control ortho pre ots
G6027,"Anoscopy, high resolution (hra) (with magnification and chemical agent enhancement); diagnostic, including collection of specimen(s) by brushing or washing when performed",Anoscopy hra w/spec collect
L1220,"Addition to tlso, (low profile), anterior thoracic extension",Anterior thoracic extension
S9401,"Anticoagulation clinic, inclusive of all services except laboratory tests, per session",Anticoag clinic per session
G8698,"Antithrombotic therapy was not prescribed at discharge, reason not given",Antithromb no presc no reas
G9598,Aortic aneurysm 5.5 - 5.9 cm maximum diameter on centerline formatted ct or minor diameter on axial formatted ct,Aor ane 5.5-5.9 cm max diam
Q4147,"Architect, architect px, or architect fx, extracellular matrix, per square centimeter",Architect ecm px fx 1 sq cm
L8608,"Miscellaneous external component, supply or accessory for use with the argus ii retinal prosthesis system",Arg ii ext com/sup/acc misc
H0040,"Assertive community treatment program, per diem",Assert comm tx pgm per diem
G8931,"Assessment of depression severity not documented, reason not given",Asses of dep not documented
S5125,Attendant care services; per 15 minutes,Attendant care service /15m
L8690,"Auditory osseointegrated device, includes all internal and external components","Aud osseo dev, int/ext comp"
E0617,External defibrillator with integrated electrocardiogram analysis,Automatic ext defibrillator
Q0497,"Battery clips for use with electric or electric/pneumatic ventricular assist device, replacement only","Bat clps elec/comb vad, rep"
L7362,"Battery charger, six volt, each",Battery chrgr six volt otto
Q0496,"Battery, other than lithium-ion, for use with electric or electric/pneumatic ventricular assist device, replacement only","Battery elec/combo vad, rep"
A5102,"Bedside drainage bottle with or without tubing, rigid or expandable, each",Bedside drain btl w/wo tube
V5180,"Hearing aid, cros, behind the ear",Behind ear cros hearing aid
L6698,"Addition to upper extremity prosthesis, below elbow/above elbow, lock mechanism, excludes socket insert",Below/above elbow lock mech
G9189,Beta-blocker therapy prescribed or currently being taken,Beta pres or already taking
A4247,"Betadine or iodine swabs/wipes, per box",Betadine/iodine swabs/wipes
J0520,"Injection, bethanechol chloride, myotonachol or urecholine, up to 5 mg",Bethanechol chloride inject
KE   ,Bid under round one of the dmepos competitive bidding program for use with non-competitive bid base equipment,Bid under round 1 dmepos cb
L5301,"Below knee, molded socket, shin, sach foot, endoskeletal system",Bk mold socket sach ft endo
G9946,Back pain was not measured by the visual analog scale (vas) within three months preoperatively and at one year (9 to 15 months) postoperatively,Bk pn nt msr vas pre-pst 1y
E2101,Blood glucose monitor with integrated lancing/blood sample,Bld glucose monitor w lance
E2100,Blood glucose monitor with integrated voice synthesizer,Bld glucose monitor w voice
J9040,"Injection, bleomycin sulfate, 15 units",Bleomycin sulfate injection
P9054,"Whole blood or red blood cells, leukocytes reduced, frozen, deglycerol, washed, each unit","Blood, l/r, froz/degly/wash"
A0384,Bls specialized service disposable supplies; defibrillation (used by als ambulances and bls ambulances in jurisdictions where defibrillation is permitted in bls ambulances),Bls defibrillation supplies
C9738,Adjunctive blue light cystoscopy with fluorescent imaging agent(list separately in addition to code for primary procedure),Blue light cysto imag agent
G9769,Patient had a bone mineral density test in the past two years or received osteoporosis medication or therapy in the past 12 months,Bn den 2yr/got ost med/ther
L1300,"Other scoliosis procedure, body jacket molded to patient model",Body jacket mold to patient
V5100,"Hearing aid, bilateral, body worn",Body-worn bilat hearing aid
G8785,"Blood pressure reading not documented, reason not given",Bp scrn no perf at interval
G9987,"Bundled payments for care improvement advanced (bpci advanced) model home visit for patient assessment performed by clinical staff for an individual not considered homebound, including, but not necessarily limited to patient assessment of clinical status, safety/fall prevention, functional status/ambulation, medication reconciliation/management, compliance with orders/plan of care, performance of activities of daily living, and ensuring beneficiaryconnections to community and other services; for use only for a bpci advanced model episode of care; may not be billed for a 30-day period covered by a transitional care management code",Bpci advanced in home visit
Q3001,"Radioelements for brachytherapy, any type, each",Brachytherapy radioelements
C1716,"Brachytherapy source, non-stranded, gold-198, per source","Brachytx, non-str, gold-198"
C2699,"Brachytherapy source, non-stranded, not otherwise specified, per source","Brachytx, non-stranded, nos"
C1719,"Brachytherapy source, non-stranded, non-high dose rate iridium-192, per source","Brachytx, ns, non-hdrir-192"
T2101,"Human breast milk processing, storage and distribution only",Breast milk proc/store/dist
J0945,"Injection, brompheniramine maleate, per 10 mg",Brompheniramine maleate inj
L8002,"Breast prosthesis, mastectomy bra, with integrated breast prosthesis form, bilateral, any size, any type",Brst prsth bra & bilat form
J0592,"Injection, buprenorphine hydrochloride, 0.1 mg",Buprenorphine hydrochloride
S0106,"Bupropion hcl sustained release tablet, 150 mg, per bottle of 60 tablets",Bupropion hcl sr 60 tablets
S0012,"Butorphanol tartrate, nasal spray, 25 mg","Butorphanol tartrate, nasal"
J0630,"Injection, calcitonin salmon, up to 400 units",Calcitonin salmon injection
J0610,"Injection, calcium gluconate, per 10 ml",Calcium gluconate injection
J0620,"Injection, calcium glycerophosphate and calcium lactate, per 10 ml",Calcium glycer & lact/10 ml
E0620,"Skin piercing device for collection of capillary blood, laser, each",Cap bld skin piercing laser
G0507,"Care management services for behavioral health conditions, at least 20 minutes of clinical staff time, directed by a physician or other qualified health care professional, per calendar month, with the following required elements: initial assessment or follow-up monitoring, including the use of applicable validated rating scales; behavioral health care planning in relation to behavioral/psychiatric health problems, including revision for patients who are not progressing or whose status changes; facilitating and coordinating treatment such as psychotherapy, pharmacotherapy, counseling and/or psychiatric consultation; and continuity of care with a designated member of the care team",Care manage serv minimum 20
Q4032,"Cast supplies, long leg cast, pediatric (0-10 years), fiberglass",Cast sup lng leg ped fbrgls
A4314,"Insertion tray with drainage bag with indwelling catheter, foley type, two-way latex with coating (teflon, silicone, silicone elastomer or hydrophilic, etc.)",Cath w/drainage 2-way latex
A4312,"Insertion tray without drainage bag with indwelling catheter, foley type, two-way, all silicone",Cath w/o bag 2-way silicone
C1726,"Catheter, balloon dilatation, non-vascular","Cath, bal dil, non-vascular"
C1732,"Catheter, electrophysiology, diagnostic/ablation, 3d or vector mapping","Cath, ep, diag/abl, 3d/vect"
C1751,"Catheter, infusion, inserted peripherally, centrally or midline (other than hemodialysis)","Cath, inf, per/cent/midline"
C1757,"Catheter, thrombectomy/embolectomy","Cath, thrombectomy/embolect"
C2623,"Catheter, transluminal angioplasty, drug-coated, non-laser","Cath, translumin, drug-coat"
J0698,"Injection, cefotaxime sodium, per gm",Cefotaxime sodium injection
J0715,"Injection, ceftizoxime sodium, per 500 mg",Ceftizoxime sodium / 500 mg
J0710,"Injection, cephapirin sodium, up to 1 gm",Cephapirin sodium injection
E0855,Cervical traction equipment not requiring additional stand or frame,Cervical traction equipment
Q0495,"Battery/power pack charger for use with electric or electric/pneumatic ventricular assist device, replacement only","Charger elec/combo vad, rep"
A4674,"Chemicals/antiseptics solution used to clean/sterilize dialysis equipment, per 8 oz","Chem/antisept solution, 8oz"
HU   ,Funded by child welfare agency,Child welfare agency funded
TJ   ,"Program group, child and/or adolescent",Child/adolescent program gp
Q0161,"Chlorpromazine hydrochloride, 5 mg, oral, fda approved prescription anti-emetic, for use as a complete therapeutic substitute for an iv anti-emetic at the time of chemotherapy treatment, not to exceed a 48 hour dosage regimen",Chlorpromazine hcl 5mg oral
L8627,"Cochlear implant, external speech processor, component, replacement",Cid ext speech process repl
L8629,"Transmitting coil and cable, integrated, for use with cochlear implant device, replacement",Cid transmit coil and cable
J0743,"Injection, cilastatin sodium; imipenem, per 250 mg",Cilastatin sodium injection
G8959,Clinician treating major depressive disorder communicates to clinician treating comorbid condition,Clin tx mdd comm to tx clin
A5053,"Ostomy pouch, closed; for use on faceplate, each",Clsd ostomy pouch faceplate
A6507,"Compression burn garment, foot to knee length, custom fabricated",Cmprs burngarment foot-knee
A6506,"Compression burn garment, glove to axilla, custom fabricated",Cmprsburngrmnt glove-axilla
V2522,"Contact lens, hydrophilic, bifocal, per lens",Cntct lens hydrophil bifocl
V2523,"Contact lens, hydrophilic, extended wear, per lens",Cntct lens hydrophil extend
V2501,"Contact lens, pmma, toric or prism ballast, per lens",Cntct lens pmma-toric/prism
A6010,"Collagen based wound filler, dry form, sterile, per gram of collagen",Collagen based wound filler
A6023,"Collagen dressing, sterile, size more than 48 sq. in., each",Collagen dressing >48 sq in
L8603,"Injectable bulking agent, collagen implant, urinary tract, 2.5 ml syringe, includes shipping and necessary supplies",Collagen imp urinary 2.5 ml
J0775,"Injection, collagenase, clostridium histolyticum, 0.01 mg","Collagenase, clost hist inj"
G0120,"Colorectal cancer screening; alternative to g0105, screening colonoscopy, barium enema.",Colon ca scrn; barium enema
G0122,Colorectal cancer screening; barium enema,Colon ca scrn; barium enema
G0464,"Colorectal cancer screening; stool-based dna and fecal occult hemoglobin (e.g., kras, ndrg4 and bmp3)","Colorec ca scr, sto bas dna"
A7027,"Combination oral/nasal mask, used with continuous positive airway pressure device, each",Combination oral/nasal mask
L5975,"All lower extremity prosthesis, combination single axis ankle and flexible keel foot",Combo ankle/foot prosthesis
G9956,Patient received combination therapy consisting of at least two prophylactic pharmacologic anti-emetic agents of different classes preoperatively and/or intraoperatively,Combo thrpy of >= 2 prophly
T1040,"Medicaid certified community behavioral health clinic services, per diem",Comm bh clinic svc per diem
G0071,"Payment for communication technology-based services for 5 minutes or more of a virtual (non-face-to-face) communication between an rural health clinic (rhc) or federally qualified health center (fqhc) practitioner and rhc or fqhc patient, or 5 minutes or more of remote evaluation of recorded video and/or images by an rhc or fqhc practitioner, occurring in lieu of an office visit; rhc or fqhc only",Comm svcs by rhc/fqhc 5 min
E1635,Compact (portable) travel hemodialyzer system,Compact travel hemodialyzer
S8950,"Complex lymphedema therapy, each 15 minutes","Complex lymphedema therapy,"
A6509,"Compression burn garment, upper trunk to waist including arm openings (vest), custom fabricated",Compres burn garment jacket
E0565,"Compressor, air power source for equipment which is not self-contained or cylinder driven",Compressor air power source
A7014,"Filter, nondisposable, used with aerosol compressor or ultrasonic generator",Compressor nondispos filter
A6446,"Conforming bandage, non-elastic, knitted/woven, sterile, width greater than or equal to three inches and less than five inches, per yard","Conform band s w>=3"" <5""/yd"
E0601,Continuous positive airway pressure (cpap) device,Cont airway pressure device
V2500,"Contact lens, pmma, spherical, per lens",Contact lens pmma spherical
X2   ,Continuous/focused services: for reporting services by clinicians whose expertise is needed for the ongoing management of a chronic disease or a condition that needs to be managed and followed with no planned endpoint to the relationship; reporting clinician service examples include but are not limited to: a rheumatologist taking care of the patient's rheumatoid arthritis longitudinally but not providing general primary care services,Continuous/focused services
J7304,"Contraceptive supply, hormone containing patch, each",Contraceptive hormone patch
T1022,"Contracted home health agency services, all services provided under contract, per day",Contracted services per day
E0936,Continuous passive motion exercise device for use other than knee,"Cpm device, other than knee"
HZ   ,Funded by criminal justice agency,Criminal justice agncy fund
H2011,"Crisis intervention service, per 15 minutes","Crisis interven svc, 15 min"
T2034,"Crisis intervention, waiver; per diem",Crisis interven waiver/diem
G8964,"Cardiac stress imaging test performed primarily for any other reason than monitoring of asymptomatic patient who had pci within 2 years (e.g., symptomatic patient, patient greater than 2 years since pci, initial evaluation, etc)",Csi any other than pci 2 yr
G8961,Cardiac stress imaging test primarily performed on low-risk surgery patient for preoperative evaluation within 30 days preceding this surgery,Csit lowrisk surg pts preop
G8962,Cardiac stress imaging test performed on patient for any reason including those who did not have low risk surgery or test that was performed more than 30 days preceding low risk surgery,Csit on pt any reas 30 days
K0008,Custom manual wheelchair/base,Cstm manual wheelchair/base
G9556,"Final reports for ct, cta, mri or mra of the chest or neck or ultrasound of the neck with follow-up imaging not recommended",Ct/cta/mri/a no follup imag
G9557,"Final reports for ct, cta, mri or mra studies of the chest or neck or ultrasound of the neck without an incidentally found thyroid nodule < 1.0 cm noted or no nodule found",Ct/cta/mri/a no thyr <1.0cm
E1012,"Wheelchair accessory, addition to power seating system, center mount power elevating leg rest/platform, complete system, any type, each",Ctr mount pwr elev leg rest
E2617,"Custom fabricated wheelchair back cushion, any size, including any type mounting hardware",Custom fab w/c back cushion
L5707,"Custom shaped protective cover, hip disarticulation",Custom shape cvr hip disart
G9766,Patients who are transferred from one institution to another with a known diagnosis of cva for endovascular stroke treatment,Cva stroke dx tx transf fac
J9070,"Cyclophosphamide, 100 mg",Cyclophosphamide 100 mg inj
J8530,"Cyclophosphamide; oral, 25 mg",Cyclophosphamide oral 25 mg
T2021,"Day habilitation, waiver; per 15 minutes",Day habil waiver per 15 min
E1358,"Oxygen accessory, dc power adapter for portable concentrator, any type, replacement only, each","Dc power adapter, port conc"
G9815,Death did not occur during the index acute care hospitalization,Death not during index hosp
G9016,"Smoking cessation counseling, individual, in the absence of or in addition to any other evaluation and management service, per session (6-10 minutes) [demo project code only]",Demo-smoking cessation coun
G0451,"Development testing, with interpretation and report, per standardized instrument form",Devlopment test interpt&rep
J7312,"Injection, dexamethasone, intravitreal implant, 0.1 mg",Dexamethasone intra implant
L8604,"Injectable bulking agent, dextranomer/hyaluronic acid copolymer implant, urinary tract, 1 ml, includes shipping and necessary supplies",Dextranomer/hyaluronic acid
A5501,"For diabetics only, fitting (including follow-up), custom preparation and supply of shoe molded from cast(s) of patient's foot (custom molded shoe), per shoe",Diabetic custom molded shoe
A4722,"Dialysate solution, any concentration of dextrose, fluid volume greater than 1999 cc but less than or equal to 2999 cc, for peritoneal dialysis",Dialys sol fld vol > 1999cc
A4723,"Dialysate solution, any concentration of dextrose, fluid volume greater than 2999 cc but less than or equal to 3999 cc, for peritoneal dialysis",Dialys sol fld vol > 2999cc
A4724,"Dialysate solution, any concentration of dextrose, fluid volume greater than 3999 cc but less than or equal to 4999 cc, for peritoneal dialysis",Dialys sol fld vol > 3999cc
A4725,"Dialysate solution, any concentration of dextrose, fluid volume greater than 4999 cc but less than or equal to 5999 cc, for peritoneal dialysis",Dialys sol fld vol > 4999cc
A4726,"Dialysate solution, any concentration of dextrose, fluid volume greater than 5999 cc, for peritoneal dialysis",Dialys sol fld vol > 5999cc
A4765,"Dialysate concentrate, powder, additive for peritoneal dialysis, per packet",Dialysate conc pow per pack
A4728,"Dialysate solution, non-dextrose containing, 500 ml","Dialysate solution, non-dex"
G0491,Dialysis procedure at a medicare certified esrd facility for acute kidney injury without esrd,Dialysis acu kidney no esrd
T4538,"Diaper service, reusable diaper, each diaper",Diaper serv reusable diaper
A5126,Adhesive or non-adhesive; disk or foam pad,Disk/foam pad +or- adhesive
G0333,Pharmacy dispensing fee for inhalation drug(s); initial 30-day supply as a beneficiary,Dispense fee initial 30 day
A4270,"Disposable endoscope sheath, each",Disposable endoscope sheath
A4360,"Disposable external urethral clamp or compression device, with pad and/or pouch, each",Disposable ext urethral dev
T4535,"Disposable liner/shield/guard/pad/undergarment, for incontinence, each",Disposable liner/shield/pad
KI   ,"Dmepos item, second or third month rental",Dmepos 2nd or 3rd mo rental
S3852,Dna analysis for apoe epsilon 4 allele for susceptibility to alzheimer's disease,Dna analysis apoe alzheimer
G9543,Documentation of at least two attempts to reach the patient to arrange a clinical re-assessment for the appropriateness of filter removal within 3 months of placement,Doc 2x re-assess filt remov
G9265,Patient receiving maintenance hemodialysis for greater than or equal to 90 days with a catheter as the mode of vascular access,Doc cath >90d for maint dia
G9820,Documentation of a chlamydia screening test with proper follow-up,Doc chlam scr test w/follow
G9277,"Documentation that the patient is on daily aspirin or anti-platelet or has documentation of a valid contraindication or exception to aspirin/anti-platelet; contraindications/exceptions include anti-coagulant use, allergy to aspirin or anti-platelets, history of gastrointestinal bleed and bleeding disorder; additionally, the following exceptions documented by the physician as a reason for not taking daily aspirin or anti-platelet are acceptable (use of non-steroidal anti-inflammatory agents, documented risk for drug interaction, uncontrolled hypertension defined as >180 systolic or >110 diastolic or gastroesophageal reflux)",Doc daily aspirin or contra
G8942,"Functional outcomes assessment using a standardized tool is documented within the previous 30 days and care plan, based on identified deficiencies on the date of the functional outcome assessment, is documented",Doc fcn/care plan w/30 days
G9722,"Documented history of renal failure or baseline serum creatinine = 4.0 mg/dl; renal transplant recipients are not considered to have preoperative renal failure, unless, since transplantation the cr has been or is 4.0 or higher",Doc hx renal fail or cr+ >4
G9456,"Documentation of medical or patient reason(s) for not ordering or performing screening for hcc. medical reason: comorbid medical conditions with expected survival < 5 years, hepatic decompensation and not a candidate for liver transplantation, or other medical reasons; patient reasons: patient declined or other patient reasons (e.g., cost of tests, time related to accessing testing equipment)",Doc med pt reas no hcc scrn
G8887,"Documentation of medical reason(s) for most recent blood pressure not being under control (e.g., patients with palliative goals or for whom treatment of hypertension with standard treatment goals is not clinically appropriate)",Doc med reas bp not control
G9559,"Documentation of medical reason(s) for not prescribing a beta-lactam antibiotic (e.g., allergy, intolerance to beta-lactam antibiotics)",Doc med reas no abx therapy
G8772,"Documentation of medical reason(s) for not performing urine protein test (e.g., patients with palliative goals or for whom treatment of hypertension with standard treatment goals is not cllinically appropriate)",Doc med reas no urine protn
G9549,"Documentation of medical reason(s) that follow-up imaging is indicated (e.g., patient has a known malignancy that can metastasize, other medical reason(s) such as fever in an immunocompromised patient)",Doc med rsn for follow imag
G9975,Documentation of medical reason(s) for not performing a dilated macular examination,Doc med rsn no dil mac exam
G9917,"Documentation of medical reason(s) for not performing functional status (e.g., patient is severely impaired and caregiver knowledge is limited, other medical reason)",Doc med rsn no funct status
G9776,"Documentation of medical reason for not receiving at least 2 prophylactic pharmacologic anti-emetic agents of different classes preoperatively and/or intraoperatively(e.g., intolerance or other medical reason)",Doc med rsn no proph antiem
G9623,"Documentation of medical reason(s) for not screening for unhealthy alcohol use (e.g., limited life expectancy, other medical reasons)",Doc med rsn no scr etoh use
G9924,"Documentation of medical reason(s) for not providing safety concerns screen or for not providing recommendations, orders or referrals for positive screen (e.g., patient in palliative care, other medical reason)",Doc med rsn no scrn or recs
G9772,"Documentation of one of the following medical reason(s) for not achieving at least 1 body temperature measurement equal to or greater than 35.5 degrees celsius (or 95.9 degrees fahrenheit) within the 30 minutes immediately before or the 15 minutes immediately after anesthesia end time (e.g., emergency cases, intentional hypothermia, etc.)",Doc med rsn no temp >= 35.5
G9300,"Documentation of medical reason(s) for not completely infusing the prophylactic antibiotic prior to the inflation of the proximal tourniquet (e.g., a tourniquet was not used)",Doc medrsn no compl antibio
G9288,"Documentation of medical reason(s) for not reporting the histological type or nsclc-nos classification with an explanation (e.g., a solitary fibrous tumor in a person with a history of non-small cell carcinoma or other documented medical reasons)",Doc medrsn no hist type rpt
G9257,Documentation of patient stroke following cas,Doc of pat stroke after cas
G9258,Documentation of patient stroke following cea,Doc of pat stroke after cea
G8733,Elder maltreatment screen documented as positive and a follow-up plan is documented,Doc pos elder mal scrn plan
G9717,"Documentation stating the patient has an active diagnosis of depression or has a diagnosed bipolar disorder, therefore screening or follow-up not required",Doc pt dx dep/bp f/u nt req
G8866,"Documentation of patient reason(s) for not administering or previously receiving pneumococcal vaccine (e.g., patient refusal)",Doc pt reas no pneumococcal
G9385,"Documentation of patient reason(s) for not receiving annual screening for hcv infection (e.g., patient declined, other patient reasons)",Doc pt reas not rec hcv srn
G8949,"Documentation of patient reason(s) for patient not receiving counseling for diet and physical activity (e.g., patient is not willing to discuss diet or exercise interventions to help control blood pressure, or the patient said he/she refused to make these changes)",Doc pt reas on counsel diet
G9896,Documentation of patient reason(s) for not prescribing/administering androgen deprivation therapy in combination with external beam radiotherapy to the prostate,Doc pt rsn no adr dep thrpy
G9241,Patient whose mode of vascular access is not a catheter at the time maintenance hemodialysis is initiated,Doc pt w out cath maint dia
G9618,Documentation of screening for uterine malignancy or those that had an ultrasound and/or endometrial sampling of any kind,Doc scr uter mal or us/samp
G9582,"Door to puncture time of greater than 2 hours, no reason given","Door to punc time >2hr, nrg"
S3722,"Dose optimization by area under the curve (auc) analysis, for infusional 5-fluorouracil",Dose optimization auc - 5fu
A5063,"Ostomy pouch, drainable; for use on barrier with flange (2 piece system), each",Drain ostomy pouch w/flange
A4377,"Ostomy pouch, drainable, for use on faceplate, plastic, each",Drainable plstic pch w/o fp
A4378,"Ostomy pouch, drainable, for use on faceplate, rubber, each",Drainable rubber pch w/o fp
A4672,"Drainage extension line, sterile, for dialysis, each","Drainage ext line, dialysis"
G0482,"Drug test(s), definitive, utilizing (1) drug identification methods able to identify individual drugs and distinguish between structural isomers (but not necessarily stereoisomers), including, but not limited to gc/ms (any type, single or tandem) and lc/ms (any type, single or tandem and excluding immunoassays (e.g., ia, eia, elisa, emit, fpia) and enzymatic methods (e.g., alcohol dehydrogenase)), (2) stable isotope or other universally recognized internal standards in all samples (e.g., to control for matrix effects, interferences and variations in signal strength), and (3) method or drug-specific calibration and matrix-matched quality control material (e.g., to control for instrument variations and mass spectral drift); qualitative or quantitative, all sources, includes specimen validity testing, per day; 15-21 drug class(es), including metabolite(s) if performed",Drug test def 15-21 classes
G0659,"Drug test(s), definitive, utilizing drug identification methods able to identify individual drugs and distinguish between structural isomers (but not necessarily stereoisomers), including but not limited to gc/ms (any type, single or tandem) and lc/ms (any type, single or tandem), excluding immunoassays (e.g., ia, eia, elisa, emit, fpia) and enzymatic methods (e.g., alcohol dehydrogenase), performed without method or drug-specific calibration, without matrix-matched quality control material, or without use of stable isotope or other universally recognized internal standard(s) for each drug, drug metabolite or drug class per specimen; qualitative or quantitative, all sources, includes specimen validity testing, per day, any number of drug classes",Drug test def simple all cl
KD   ,Drug or biological infused through dme,Drug/biological dme infused
T1029,"Comprehensive environmental lead investigation, not including laboratory analysis, per dwelling",Dwelling lead investigation
J3520,"Edetate disodium, per 150 mg",Edetate disodium per 150 mg
B4102,"Enteral formula, for adults, used to replace fluids and electrolytes (e.g., clear liquids), 500 ml = 1 unit",Ef adult fluids and electro
L6450,"Elbow disarticulation, molded socket, endoskeletal system, including soft prosthetic tissue shaping",Elb disart prosth tiss shap
L6694,"Addition to upper extremity prosthesis, below elbow/above elbow, custom fabricated from existing mold or prefabricated, socket insert, silicone gel, elastomeric or equal, for use with locking mechanism",Elbow socket ins use w/lock
G8941,"Elder maltreatment screen documented as positive, follow-up plan not documented, documentation the patient is not eligible for follow-up plan at the time of the encounter",Eld maltreatment doc as pos
L5856,"Addition to lower extremity prosthesis, endoskeletal knee-shin system, microprocessor control feature, swing and stance phase, includes electronic sensor(s), any type",Elec knee-shin swing/stance
E2310,"Power wheelchair accessory, electronic connection between wheelchair controller and one power seating system motor, including all related electronics, indicator feature, mechanical function selection switch, and fixed mounting hardware",Electro connect btw control
G0295,"Electromagnetic therapy, to one or more areas, for wound care other than described in g0329 or for other uses",Electromagnetic therapy onc
E0746,"Electromyography (emg), biofeedback device",Electromyograph biofeedback
L7186,"Electronic elbow, child, variety village or equal, switch controlled",Electron elbow child switch
L7260,"Electronic wrist rotator, otto bock or equal",Electron wrist rotator otto
L7261,"Electronic wrist rotator, for utah arm",Electron wrist rotator utah
L7180,"Electronic elbow, microprocessor sequential control of elbow and terminal device",Electronic elbow sequential
E2631,"Wheelchair accessory, addition to mobile arm support, elevating proximal arm",Elevat proximal arm support
K0053,"Elevating footrests, articulating (telescoping), each",Elevate footrest articulate
HJ   ,Employee assistance program,Employee assistance program
E0144,"Walker, enclosed, four sided framed, rigid or folding, wheeled with posterior seat",Enclosed walker w rear seat
L5961,"Addition, endoskeletal system, polycentric hip joint, pneumatic or hydraulic control, rotation control, with or without flexion and/or extension control","Endo poly hip, pneu/hyd/rot"
L5810,"Addition, endoskeletal knee-shin system, single axis, manual lock",Endoskel knee-shin mnl lock
L5984,"All endoskeletal lower extremity prosthesis, axial rotation unit, with or without adjustability",Endoskeletal axial rotation
B4081,Nasogastric tubing with stylet,Enteral ng tubing w/ stylet
B4083,Stomach tube - levine type,Enteral stomach tube levine
L3760,"Elbow orthosis (eo), with adjustable position locking joint(s), prefabricated, item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specificpatient by an individual with expertise",Eo adj jt prefab custom fit
L3762,"Elbow orthosis, rigid, without joints, includes soft interface material, prefabricated, off-the-shelf",Eo rigid w/o joints pre ots
G9521,Total number of emergency department visits and inpatient hospitalizations less than two in the past 12 months,Er and ip hosp <2 in 12 mos
J9179,"Injection, eribulin mesylate, 0.1 mg",Eribulin mesylate injection
J7307,"Etonogestrel (contraceptive) implant system, including implant and supplies",Etonogestrel implant system
S3005,"Performance measurement, evaluation of patient self assessment, depression",Eval self-assess depression
PO   ,"Excepted service provided at an off-campus, outpatient, provider-based department of a hospital",Excepted off-campus service
E2376,"Power wheelchair accessory, expandable controller, including all related electronics and mounting hardware, replacement only","Expandable controller, repl"
E0784,"External ambulatory infusion pump, insulin",Ext amb infusn pump insulin
L6648,"Upper extremity addition, shoulder lock mechanism, external powered actuator",Ext pwrd shlder lock/unlock
A4356,"External urethral clamp or compression device (not to be used for catheter clamp), each",Ext ureth clmp or compr dvc
A4408,"Ostomy skin barrier, with flange (solid, flexible or accordion), extended wear, with built-in convexity, larger than 4 x 4 inches, each","Ext wear ost skn barr >4sq"""
L2760,"Addition to lower extremity orthosis, extension, per extension, per bar (for lineal adjustment for growth)",Extension per extension per
L8695,"External recharging system for battery (external) for use with implantable neurostimulator, replacement only",External recharg sys extern
L8689,"External recharging system for battery (internal) for use with implantable neurostimulator, replacement only",External recharg sys intern
K0007,Extra heavy duty wheelchair,Extra heavy duty wheelchair
G0166,"External counterpulsation, per treatment session","Extrnl counterpulse, per tx"
M0301,Fabric wrapping of abdominal aneurysm,Fabric wrapping of aneurysm
J7192,"Factor viii (antihemophilic factor, recombinant) per i.u., not otherwise specified",Factor viii recombinant nos
